call_sign,frequency,city,licensee,format,state,facility_id,service,licensee_call_sign_r,status,details
KVUH,88.5 FM,Laytonville,"Radio Bilingue, Inc.",Spanish Talk/Standards,California,,,,,
KVVC-LP,106.5 FM,Vallejo,St. Vincent Ferrer Parish,Religious,California,,,,,
KVVF,105.7 FM,Santa Clara,"Univision Radio Illinois, Inc.",Spanish contemporary hit radio,California,19532.0,FM,"UNIVISION RADIO STATIONS GROUP, INC.",LICENSED,Click for Details
KVVN,1430 AM,Santa Clara,Pham Radio Communication LLC,Vietnamese,California,,,,,
KVVS,105.5 FM,Rosamond,"iHM Licenses, LLC",Top 40/CHR,California,,,,,
KVVZ,100.7 FM,San Rafael,"Univision Radio Illinois, Inc.",Spanish contemporary hit radio,California,,,,,
KVYA,91.5 FM,Cedarville,Openskyradio Corp.,Public radio,California,,,,,
KVYB,106.3 FM,Oak View,Cumulus Licensing LLC,Rhythmic Contemporary,California,,,,,
KVYN,99.3 FM,St. Helena,Wine Down Media LLC,Adult album alternative,California,,,,,
KWAC,1490 AM,Bakersfield,Lotus Bakersfield Corp.,Spanish Sports,California,,,,,
KWAV,96.9 FM,Monterey,"SMG-Monterey, LLC",Adult contemporary,California,7714.0,FM,"SMG-MONTEREY, LLC",LICENSED,Click for Details
KWBB-LP,105.5 FM,Big Bear Lake,Mountain Ministries,Christian radio,California,,,,,
KWBP,90.3 FM,Big Pine,"Cedar Broadcasting, Inc.",Religious,California,,,,,
KWCA,101.1 FM,Palo Cedro,Southern Oregon University,Silent,California,,,,,
KWCB-LP,94.7 FM,Wasco,Rosecorp Trust,Variety,California,,,,,
KWCS-LP,105.9 FM,Sacramento,"Women's Civic Improvement Club Of Sacramento, Inc.",Variety,California,,,,,
KWDC-LP,93.5 FM,Stockton,San Joaquin Delta Community College District,Variety,California,,,,,
KWDJ,1360 AM,Ridgecrest,"Adelman Broadcasting, Inc.",Classic country,California,,,,,
KWDO,105.5 FM,San Joaquin,One Putt,Classic country,California,,,,,
KWFN,97.3 FM,San Diego,"Audacy License, LLC",Sports (CBS),California,30832.0,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KWG,1230 AM,Stockton,"Relevant Radio, Inc.",Catholic,California,,,,,
KWIE,101.3 FM,Hinkley,Point Five LLC,Rhythmic oldies,California,,,,,
KWIN,97.7 FM,Lodi,"Radio License Holding CBC, LLC",Urban contemporary,California,60425.0,FM,"RADIO LICENSE HOLDING CBC, LLC",LICENSED,Click for Details
KWIZ,96.7 FM,Santa Ana,LBI Radio License LLC,Regional Mexican,California,,,,,
KWKW,1330 AM,Los Angeles,Lotus Los Angeles Corp.,Spanish Sports,California,,,,,
KWLK,88.5 FM,Westwood,Calvary Chapel of Susanville,Christian radio,California,,,,,
KWLU,98.9 FM,Chester,Educational Media Foundation,Contemporary Christian (K-Love),California,,,,,
KWLZ,99.3 FM,Shasta Lake City,"SMG-Redding, LLC",Rhythmic contemporary,California,,,,,
KWMR,90.5 FM,Point Reyes Station,"KWMR, Inc.",Variety,California,,,,,
KWNE,94.5 FM,Ukiah,Broadcasting Corp. of Mendocino County,Top 40/CHR,California,,,,,
KWNN,98.3 FM,Turlock,"Radio License Holding CBC, LLC",Mainstream urban,California,60427.0,FM,"RADIO LICENSE HOLDING CBC, LLC",LICENSED,Click for Details
KWOL-LP,103.7 FM,Arroyo Grande,Arroyo Grande Sda Church,Christian radio (LifeTalk Radio),California,,,,,
KWPT,100.3 FM,Fortuna,"KWPT, Inc",Classic hits,California,,,,,
KWQA-LP,94.5 FM,Chico,Chico Peace and Justice Center,Variety,California,,,,,
KWRM,1370 AM,Corona,"EDI Media, Inc.",Regional Mexican/Chinese,California,,,,,
KWRN,1550 AM,Apple Valley,"Lazer Licenses, LLC",Regional Mexican,California,,,,,
KWRS-LP,107.3 FM,Redlands,The Josiah Ministry,Christian,California,,,,,
KWRU,1300 AM,Fresno,"Punjabi American Media, LLC",Punjabi,California,,,,,
KWST,1430 AM,El Centro,"Entravision Holdings, LLC",Spanish Adult hits,California,,,,,
KWSV-LP,99.1 FM,Simi Valley,Strategic International Ministries,Country,California,,,,,
KWSW,980 AM,Eureka,"Eureka Broadcasting Co., Inc.",Adult contemporary,California,,,,,
KWSX,1280 AM,Stockton,"iHM Licenses, LLC",News/Talk,California,,,,,
KWTD,91.9 FM,Ridgecrest,Westside Christian Fellowship A.V.,Christian radio,California,,,,,
KWTF,88.1 FM,Bodega Bay,KWTF Radio,Variety,California,,,,,
KWTH,91.3 FM,Barstow,"Calvary Chapel of Costa Mesa, Inc.",Christian radio,California,,,,,
KWTW,88.5 FM,Bishop,Westside Christian Fellowship A.V.,Christian radio,California,,,,,
KWVE-FM,107.9 FM,San Clemente,Calvary Chapel of Costa Mesa,Christian radio,California,,,,,
KWVF,102.7 FM,Guerneville,Redwood Empire Stereocasters,Classic hits,California,,,,,
KWWV,106.1 FM,Santa Margarita,Dimes Media Corporation,Rhythmic contemporary,California,25960.0,FM,DIMES MEDIA CORPORATION,LICENSED,Click for Details
KWXY,1340 AM,Cathedral City,IVox Radio LLC,Variety,California,,,,,
KWXZ-LP,95.1 FM,Coachella,Raices Cultura,Variety,California,,,,,
KWYE,101.1 FM,Fresno,Cumulus Licensing LLC,Hot AC,California,18406.0,FM,CUMULUS LICENSING LLC,LICENSED,Click for Details
KWYL,102.9 FM,South Lake Tahoe,"Radio License Holding CBC, LLC",Rhythmic contemporary,California,,,,,
KXBX,1270 AM,Lakeport,"Bicoastal Media Licenses, LLC",Classic hits,California,,,,,
KXBX-FM,98.3 FM,Lakeport,"Bicoastal Media Licenses, LLC",Adult contemporary,California,,,,,
KXCM,96.3 FM,Joshua Tree,Copper Mountain Broadcasting Company,Country,California,,,,,
KXCP-LP,97.1 FM,Palm Desert,Xavier College Preparatory High School,Christian,California,,,,,
KXDZ,100.5 FM,Templeton,Dimes Media Corporation,Classic hits,California,,,,,
KXEX,1550 AM,Fresno,"Bendita Eucarista Radio, Inc.",Talk,California,,,,,
KXFB-LP,99.5 FM,Fallbrook,"Three Angels Global Networking, Inc.",Christian,California,,,,,
KXFG,92.9 FM,Sun City,"Audacy License, LLC",Country,California,63912.0,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KXFM,99.1 FM,Santa Maria,Point Ten LLC,Rhythmic oldies,California,,,,,
KXGO,99.5 FM,Willow Creek,"William W. McCutchen, III",,California,,,,,
KXJS,88.7 FM,Sutter,"California State University, Sacramento",Classical,California,,,,,
KXJZ,90.9 FM,Sacramento,"California State University, Sacramento",Public radio,California,8336.0,FM,"CALIFORNIA STATE UNIVERSITY, SACRAMENTO",LICENSED,Click for Details
KXLM,102.9 FM,Oxnard,"Lazer Licenses, LLC",Regional Mexican,California,,,,,
KXLU,88.9 FM,Los Angeles,Loyola Marymount University,Educational,California,,,,,
KXO,1230 AM,El Centro,"KXO, Inc.",Oldies,California,,,,,
KXO-FM,107.5 FM,El Centro,"KXO, Inc.",Adult contemporary,California,,,,,
KXOL-FM,96.3 FM,Los Angeles,"KXOL Licensing, Inc.",Spanish AC,California,,,,,
KXPR,88.9 FM,Sacramento,"California State University, Sacramento",Classical,California,8358.0,FM,"CALIFORNIA STATE UNIVERSITY, SACRAMENTO",LICENSED,Click for Details
KXPS,1010 AM,Thousand Palms,"CRC Media West, LLC, Debtor in Possession",Silent,California,,,,,
KXRN-LP,104.7 FM,Laguna Beach,"Laguna Radio, Inc.",Variety,California,,,,,
KXRS,105.7 FM,Hemet,"Lazer Licenses, LLC",Regional Mexican,California,,,,,
KXSB,101.7 FM,Big Bear Lake,"Lazer Licenses, LLC",Regional Mexican,California,,,,,
KXSC,104.9 FM,Sunnyvale,University of Southern California,Classical,California,54478.0,FM,UNIVERSITY OF SOUTHERN CALIFORNIA,LICENSED,Click for Details
KXSE,104.3 FM,Davis,"Entravision Holdings, LLC",Spanish adult hits,California,53653.0,FM,"ENTRAVISION HOLDINGS, LLC",LICENSED,Click for Details
KXSF-LP,102.5 FM,San Francisco,"San Francisco Community Radio, Inc.",Variety,California,,,,,
KXSM,93.1 FM,Chualar,"Lazer Licenses, LLC",Regional Mexican,California,,,,,
KXSN,98.1 FM,San Diego,"Audacy License, LLC",Classic hits,California,34589.0,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KXSR,91.7 FM,Groveland,"California State University, Sacramento",Classical,California,,,,,
KXTK,1280 AM,Arroyo Grande,Pacific Coast Media LLC,Sports (ESPN),California,,,,,
KXTS,98.7 FM,Geyserville,"Commonwealth Broadcasting, LLC",Regional Mexican,California,,,,,
KXTT,94.9 FM,Maricopa,"Lazer Licenses, LLC",Spanish Adult hits,California,,,,,
KXTZ,95.3 FM,Pismo Beach,Dimes Media Corporation,Classic hits,California,,,,,
KXVV,103.1 FM,Victorville,EDB VV License LLC,Regional Mexican,California,,,,,
KXWB,88.9 FM,Nipomo,"Iglesia de Rios, El Cuerpo de Cristo",Spanish Talk,California,,,,,
KXWS-LP,102.1 FM,Watsonville,"Iglecia de Jesucristo,Israel,Inc",Regional Mexican,California,,,,,
KXXZ,95.9 FM,Barstow,Dos Costas Communications Corp.,Regional Mexican,California,,,,,
KXYS-LP,94.3 FM,Marysville,"Yuba Sutter Community Media, Inc.",Catholic,California,,,,,
KXZM,93.7 FM,Felton,"Lazer Licenses, LLC",Regional Mexican,California,,,,,
KYAA,1200 AM,Soquel,"Relevant Radio, Inc.",Catholic,California,,,,,
KYAD-LP,101.9 FM,Bakersfield,Council of Messianic Jewish Ministries International,Religious,California,,,,,
KYBU,96.9 FM,Covelo,Friends of the Round Valley Public Library,Variety,California,,,,,
KYCC,90.1 FM,Stockton,"Your Christian Companion Network, Inc.",Christian radio,California,,,,,
KYCT,92.7 FM,Shasta Lake,Jacqueline R. Comras as Executor,Classic country,California,,,,,
KYDO,96.1 FM,Campo,Educational Media Foundation,Worship music (Air1),California,,,,,
KYDS,91.5 FM,Sacramento,San Juan Unified School District,Educational,California,,,,,
KYFC-LP,95.3 FM,El Centro,"The Youth Foundation & Center of Imperial Valley, Inc.",Variety,California,,,,,
KYGS-LP,105.5 FM,Nipomo,Santa Maria Valley Media Ministry,Silent,California,,,,,
KYIX,104.9 FM,South Oroville,"Butte Broadcasting Company, Inc.",Worship music (Air1),California,,,,,
KYKL,90.7 FM,Tracy,Educational Media Foundation,Contemporary Christian (K-Love),California,92062.0,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KYLA,92.7 FM,Fountain Valley,Educational Media Foundation,Worship music (Air1),California,9304.0,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KYLD,94.9 FM,San Francisco,"iHM Licenses, LLC",Rhythmic contemporary,California,59989.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KYLO-LP,93.3 FM,Woodland,Holy Rosary Parish,Catholic,California,,,,,
KYMX,96.1 FM,Sacramento,Bonneville International Corporation,Adult contemporary,California,72116.0,FM,BONNEVILLE INTERNATIONAL CORPORATION,LICENSED,Click for Details
KYNO,940 AM,Fresno,"Fat Dawgs 7 Broadcasting, LLC",Oldies,California,,,,,
KYNS,1340 AM,San Luis Obispo,Dimes Media Corporation,Alternative rock,California,,,,,
KYOE,102.3 FM,Point Arena,Del Mar Trust,Classic country,California,,,,,
KYOS,1480 AM,Merced,"SMG-Merced, LLC",News/Talk,California,,,,,
KYPA,1230 AM,Los Angeles,"Woori Media Group, LLC",Korean,California,,,,,
KYRA,92.7 FM,Thousand Oaks,Educational Media Foundation,Worship music (Air1),California,21689.0,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KYRR-LP,93.3 FM,Nevada City,Steven J. Michelsen Trust,Adult album alternative,California,,,,,
KYRV,93.7 FM,Roseville,"iHM Licenses, LLC",Classic rock,California,11273.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KYSR,98.7 FM,Los Angeles,"iHM Licenses, LLC",Alternative rock,California,36019.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KYTP-LP,104.5 FM,Galt,Iglesia Rosa de Saron,Christian,California,,,,,
KYUA,88.5 FM,Inyokern,Educational Media Foundation,Worship music (Air1),California,,,,,
KYWS-LP,92.9 FM,West Sacramento,West Sacramento Neighbors Fair,Variety,California,,,,,
KYXY,96.5 FM,San Diego,"Audacy License, LLC",Adult contemporary,California,51671.0,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KYXZ-LP,107.9 FM,Arroyo Grande,United Way of San Luis Obispo County,Variety,California,,,,,
KYZA,92.7 FM,Adelanto,Educational Media Foundation,Worship music (Air1),California,,,,,
KZAA-LP,96.5 FM,Santa Barbara,La Casa de la Raza,Variety,California,,,,,
KZAC-LP,97.3 FM,Sacramento,Sacramento French Cultural Society,Ethnic/French,California,,,,,
KZAP,96.7 FM,Paradise,"Deer Creek Broadcasting, LLC",Classic hits,California,,,,,
KZBV,91.3 FM,Carmel Valley,"Aware FM, Inc.",Contemporary Christian,California,,,,,
KZCF,91.5 FM,Atwater,"Common Frequency, Inc.",Silent,California,,,,,
KZCT,89.5 FM,Vallejo,Ozcat Entertainment,Variety,California,,,,,
KZDG,1550 AM,San Francisco,"Audacy License, LLC",South Asian,California,,,,,
KZER,1250 AM,Santa Barbara,"Lazer Licenses, LLC",Regional Mexican,California,,,,,
KZFR,90.1 FM,Chico,Golden Valley Community Broadcasters,Community radio,California,,,,,
KZFX,93.7 FM,Ridgecrest,Post Rock Communications,Classic rock,California,,,,,
KZHP-LP,93.3 FM,Sacramento,"Process Theatre, Inc.",Rock/Blues,California,,,,,
KZIQ-FM,92.7 FM,Ridgecrest,"Adelman Broadcasting, Inc.",Hot adult contemporary,California,,,,,
KZIS,107.9 FM,Sacramento,"iHM Licenses, LLC",Hot adult contemporary,California,,,,,
KZKA-LP,101.5 FM,Los Angeles,Los Angeles Academy of Arts and Enterprise,Variety,California,,,,,
KZLA,98.3 FM,Riverdale,"Huron Broadcasting, LLC",Rhythmic Oldies,California,,,,,
KZLQ-LP,98.9 FM,La Quinta,Cadena Radial Remanente,Spanish Religious,California,,,,,
KZNB,1490 AM,Petaluma,"California Broadcasting Company, LLC",Regional Mexican,California,,,,,
KZNQ-LP,101.5 FM,Santa Clarita,Santa Clarita Public Service Broadcasters Corporation,Country,California,,,,,
KZOZ,93.3 FM,San Luis Obispo,AGM California,Classic rock,California,,,,,
KZRO,100.1 FM,Dunsmuir,Z-Channel Radio LLC,Classic hits,California,,,,,
KZSB,1290 AM,Santa Barbara,"Santa Barbara Broadcasting, Inc.",News/Talk,California,,,,,
KZSC,88.1 FM,Santa Cruz,The Regents of the University of California,Educational,California,,,,,
KZSF,1370 AM,San Jose,Carlos A. Duharte,Regional Mexican,California,,,,,
KZSJ,1120 AM,San Martin,"Bustos Media Holdings, LLC",Vietnamese,California,,,,,
KZSQ-FM,92.7 FM,Sonora,Clarke Broadcasting Corporation,Classic hits,California,,,,,
KZSR-LP,107.9 FM,Paso Robles,Pacific Coast Conservation Alliance,Variety,California,,,,,
KZST,100.1 FM,Santa Rosa,Redwood Empire Stereocasters,Adult contemporary,California,,,,,
KZSU,90.1 FM,Stanford,The Board of Trustees of the Leland Stanford Junior University,Educational,California,,,,,
KZSZ,107.5 FM,Colusa,"Bustos Media Holdings, LLC",Spanish CHR,California,,,,,
KZUT-LP,99.1 FM,Los Angeles,Machine Project,Variety,California,,,,,
KZWS-LP,102.9 FM,Davis,Music Only Makes Sense,Variety,California,,,,,
KZXY-FM,102.3 FM,Apple Valley,"EDB VV License, LLC",Top 40/CHR,California,,,,,
KZYX,90.7 FM,Philo,Mendocino County Public Broadcasting,Public radio,California,,,,,
KZYZ,91.5 FM,Willits,Mendocino County Public Broadcasting,Public radio,California,,,,,
KZZH-LP,96.7 FM,Eureka,Access Humboldt,Variety,California,,,,,
KZZO,100.5 FM,Sacramento,Bonneville International Corporation,Adult Top 40,California,65481.0,FM,BONNEVILLE INTERNATIONAL CORPORATION,LICENSED,Click for Details
WNKI578,1610 AM,Idyllwild,Idyllwild Fire Protection District,Emergency Information,California,,,,,
KAAI,98.5 FM,Palisade,Educational Media Foundation,Worship music (Air1),Colorado,,,,,
KAFM,88.1 FM,Grand Junction,"Grand Valley Public Radio Co, Inc",Variety,Colorado,,,,,
KAJX,91.5 FM,Aspen,Roaring Fork Public Radio,Variety,Colorado,,,,,
KAKR,103.7 FM,Akron,Northeast Colorado Broadcasting LLC,,Colorado,,,,,
KALC,105.9 FM,Denver,"Audacy License, LLC",Top 40 (CHR),Colorado,59601.0,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KALQ-FM,93.5 FM,Alamosa,"Wolf Creek Broadcasting, LLC",Country,Colorado,,,,,
KAMP,1430 AM,Aurora,"Audacy License, LLC",Sports gambling,Colorado,,,,,
KASF,90.9 FM,Alamosa,Adams State College,Educational,Colorado,,,,,
KASP-LP,107.9 FM,Aspen,"Colorado, State Of, Telecom Servs","Low Power, Weather",Colorado,,,,,
KATC-FM,95.1 FM,Colorado Springs,"Radio License Holding CBC, LLC",Country,Colorado,66249.0,FM,"RADIO LICENSE HOLDING CBC, LLC",LICENSED,Click for Details
KATR-FM,98.3 FM,Otis,"Media Logic, LLC",Country,Colorado,,,,,
KAVA,1480 AM,Pueblo,"Latino Communications, LLC",Country,Colorado,,,,,
KAVI-LP,106.5 FM,La Junta,Koshare Indian Museum Incorporated,Variety,Colorado,,,,,
KAVP,1450 AM,Colona,"WS Communications, LLC",Sports,Colorado,,,,,
KAYV,97.1 FM,Crested Butte,"Arkansas Valley Broadcasting, Inc.",Classic rock,Colorado,,,,,
KAYW,98.1 FM,Meeker,"Western Slope Communications, L.L.C.",Classic rock,Colorado,,,,,
KBCO,97.3 FM,Boulder,"iHM Licenses, LLC",Adult album alternative,Colorado,48966.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KBCR-FM,96.9 FM,Steamboat Springs,Blizzard Broadcasting LLC,Country,Colorado,,,,,
KBDL-LP,107.9 FM,Carbondale,"Colorado, State Of, Telecom Servs",Emergency Info,Colorado,,,,,
KBEI,90.5 FM,Brush,"Educational Communications of Colorado Springs, Inc.",,Colorado,,,,,
KBGV,1240 AM,Monte Vista,"San Luis Valley Broadcasting, Inc.",Country,Colorado,,,,,
KBIQ,102.7 FM,Manitou Springs,"Bison Media, Inc.",Contemporary Christian,Colorado,,,,,
KBJD,1650 AM,Denver,"Salem Media of Colorado, Inc.",Spanish Christian,Colorado,,,,,
KBKL,107.9 FM,Grand Junction,"Townsquare License, LLC",Classic hits,Colorado,,,,,
KBLJ,1400 AM,La Junta,"25-7 Media, Inc.",Classic hits,Colorado,,,,,
KBNO,1280 AM,Denver,"Latino Communications, LLC",Regional Mexican,Colorado,,,,,
KBPI,107.9 FM,Fort Collins,"iHM Licenses, LLC",Active rock,Colorado,68976.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KBPL,107.9 FM,Pueblo,"iHM Licenses, LLC",Active rock,Colorado,40848.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KBUT,90.3 FM,Crested Butte,Crested Butte Mountain Educational Radio Inc,Public radio,Colorado,14492.0,FM,CRESTED BUTTE MOUNTAIN EDUCATIONAL RADIO INC,LICENSED,Click for Details
KBVC,104.1 FM,Buena Vista,"Three Eagles Communications of Colorado, LLC",Country,Colorado,,,,,
KBWA,89.1 FM,Brush,"Way Media, Inc.",Contemporary Christian,Colorado,,,,,
KCCS,91.7 FM,Starkville,The Colorado College,Public radio,Colorado,,,,,
KCCY-FM,96.9 FM,Pueblo,"iHM Licenses, LLC",Country,Colorado,40847.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KCDC,102.5 FM,Loma,Cochise Media Licenses LLC,Silent,Colorado,,,,,
KCEG,780 AM,Pueblo,Timothy C. Cutforth,Classic country/Bluegrass,Colorado,,,,,
KCFC,1490 AM,Boulder,"Public Broadcasting of Colorado, Inc.",Public/News/Talk,Colorado,,,,,
KCFP,91.9 FM,Pueblo,"Public Broadcasting of Colorado, Inc.",Public/Classical,Colorado,,,,,
KCFR-FM,90.1 FM,Denver,"Public Broadcasting of Colorado, Inc.",Public/News/Talk,Colorado,53777.0,FM,"PUBLIC BROADCASTING OF COLORADO, INC.",LICENSED,Click for Details
KCGC,94.5 FM,Merino,"Northeast Colorado Broadcasting, LLC",Country,Colorado,,,,,
KCIC,88.5 FM,Grand Junction,Pear Park Baptist Schools,Religious,Colorado,,,,,
KCIG-LP,99.7 FM,Craig,"Colorado, State Of, Telecom Servs",Emergency Info,Colorado,,,,,
KCJX,88.9 FM,Carbondale,"Roaring Fork Public Radio, Inc.",Variety,Colorado,,,,,
KCME,88.7 FM,Manitou Springs,"Cheyenne Mountain Public Broadcast House, Inc",Classical,Colorado,,,,,
KCOL,600 AM,Wellington,"iHM Licenses, LLC",News Talk Information,Colorado,,,,,
KCOQ,98.9 FM,Steamboat Springs,Radio Partners LLC,Classic rock,Colorado,,,,,
KCRN,1120 AM,Limon,"Catholic Radio Network, Inc.",Catholic,Colorado,,,,,
KCRT,1240 AM,Trinidad,"Phillips Broadcasting, Inc.",Adult hits,Colorado,,,,,
KCRT-FM,92.5 FM,Trinidad,"Phillips Broadcasting, Inc.",Classic rock,Colorado,,,,,
KCSE,90.7 FM,Lamar,"Kanza Society, Inc.","Public radio; News, Classical music, Jazz (High Plains Public Radio)",Colorado,,,,,
KCSF,1300 AM,Colorado Springs,"Radio License Holding CBC, LLC",Sports,Colorado,,,,,
KCSJ,590 AM,Pueblo,"iHM Licenses, LLC",News/Talk,Colorado,,,,,
KCSU-FM,90.5 FM,Fort Collins,Board of Governors of the Colorado State University System,Variety/college,Colorado,,,,,
KCWA,93.9 FM,Loveland,"Way Media, Inc.",Contemporary Christian,Colorado,,,,,
KDBN,101.1 FM,Parachute,KSUN Community Radio Corporation,Variety,Colorado,,,,,
KDCO,1340 AM,Denver,El Sembrador Ministries,Catholic,Colorado,,,,,
KDEA-LP,99.1 FM,Delta,"Colorado, State Of, Telecom Servs",Emergency Info,Colorado,,,,,
KDFD,760 AM,Thornton,"iHM Licenses, LLC",Conservative talk,Colorado,,,,,
KDGO,1240 AM,Durango,"Winton Road Broadcasting Co., LLC",News Talk Information,Colorado,,,,,
KDHT,95.7 FM,Denver,"iHM Licenses, LLC",Top 40 (CHR),Colorado,48967.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KDMT,1690 AM,Arvada,"Relevant Radio, Inc.",Catholic,Colorado,,,,,
KDNG,89.3 FM,Durango,"Kute, Inc.",Public radio,Colorado,,,,,
KDNK,88.1 FM,Glenwood Springs,"Carbondale Community Access Radio, Inc.",Variety/AAA,Colorado,,,,,
KDUR,91.9 FM,Durango,Board of Trustees for Fort Lewis College,College,Colorado,22087.0,FM,BOARD OF TRUSTEES FOR FORT LEWIS COLLEGE,LICENSED,Click for Details
KDVW-LP,100.9 FM,Montrose,Calvary Chapel of Montrose,Religious,Colorado,,,,,
KEAE-LP,107.9 FM,Eagle,"Colorado, State Of, Telecom Servs",Emergency Info,Colorado,,,,,
KECC,89.1 FM,La Junta,The Colorado College,Public radio,Colorado,,,,,
KEJJ,98.3 FM,Gunnison,John Harvey Rees,Classic hits,Colorado,,,,,
KEKB,99.9 FM,Fruita,"Townsquare License, LLC",Country,Colorado,,,,,
KELS-LP,104.7 FM,Greeley,Plymouth Gathering Inc.,Variety,Colorado,,,,,
KENC,90.7 FM,Estes Park,Community Radio for Northern Colorado,Public radio,Colorado,,,,,
KEPC,89.7 FM,Colorado Springs,Pikes Peak Community College,Variety,Colorado,52595.0,FM,PIKES PEAK COMMUNITY COLLEGE,LICENSED,Click for Details
KEPN,1600 AM,Lakewood,Bonneville International Corporation,Sports,Colorado,,,,,
KETO-LP,93.9 FM,Aurora,Ethiopian Community Television,Ethnic,Colorado,,,,,
KEXO,1230 AM,Grand Junction,"Townsquare License, LLC",Regional Mexican/Talk,Colorado,,,,,
KEZZ,94.1 FM,Phippsburg,"Blizzard Broadcasting II Colorado, LLC",Adult contemporary,Colorado,,,,,
KFCO,107.1 FM,Bennett,Max Radio of Denver LLC,Classic hip hop,Colorado,,,,,
KFCS,1580 AM,Colorado Springs,Greeley Broadcasting Corp.,Regional Mexican,Colorado,,,,,
KFEL,970 AM,Pueblo,"Catholic Radio Network, Inc.",Catholic,Colorado,,,,,
KFEZ,101.3 FM,Walsenburg,Edward Magnus,1980's hits,Colorado,,,,,
KFFR,88.3 FM,Winter Park,"Fraser Valley Community Media, Inc.",Community radio,Colorado,,,,,
KFKA,1310 AM,Greeley,"Music Ventures, LLC, DBA Broadcast Media LLC",News/Talk,Colorado,,,,,
KFMU-FM,104.1 FM,Oak Creek,"AlwaysMountainTime, LLC",Adult album alternative,Colorado,,,,,
KFRY,89.9 FM,Pueblo,"Family Stations, Inc.",Religious (Family Radio),Colorado,,,,,
KFTM,1400 AM,Fort Morgan,"Media Logic, LLC",Classic hits,Colorado,,,,,
KFWA,103.1 FM,Weldona,"Way Media, Inc.",Country,Colorado,,,,,
KGCD,90.3 FM,Wray,"The Praise Network, Inc.",Contemporary Christian,Colorado,,,,,
KGFT,100.7 FM,Pueblo,"Bison Media, Inc",Christian talk,Colorado,,,,,
KGHT,100.5 FM,El Jebel,"BS&T Wireless, Inc.",Top 40 (CHR),Colorado,162386.0,FM,Roaring Fork Broadcasting Company LLC,LICENSED,Click for Details
KGIW,1450 AM,Alamosa,"Wolf Creek Broadcasting, LLC",Classic hits,Colorado,,,,,
KGJN-LP,106.7 FM,Grand Junction,"Colorado, State Of, Telecom Servs",Emergency Info,Colorado,,,,,
KGJX,101.5 FM,Fruita,"Grand Junction Media, Inc.",Classic hits,Colorado,190448.0,FM,"GRAND JUNCTION MEDIA, INC.",LICENSED,Click for Details
KGKG,1340 AM,Salida,"Headwaters Media, L.L.C.",1980's hits,Colorado,,,,,
KGLN,980 AM,Glenwood Springs,"MBC Grand Broadcasting, Inc.",News/Talk,Colorado,,,,,
KGNI,88.7 FM,Gunnison,"Crested Butte Mountain Educational Radio, Inc.",Public radio,Colorado,,,,,
KGNU,1390 AM,Denver,"Boulder Community Broadcast Association, Inc.",Variety,Colorado,,,,,
KGNU-FM,88.5 FM,Boulder,"Boulder Community Broadcast Association, Inc.",Variety,Colorado,6512.0,FM,"BOULDER COMMUNITY BROADCAST ASSOCIATION, INC.",LICENSED,Click for Details
KGRE,1450 AM,Greeley,Greeley Broadcasting Corporation,Regional Mexican,Colorado,,,,,
KGRE-FM,102.1 FM,Estes Park,Greeley Broadcasting Corporation,Regional Mexican,Colorado,,,,,
KGUD,90.7 FM,Longmont,Longmont Community Radio,Adult standards,Colorado,,,,,
KGUS-LP,99.1 FM,Gunnison,"Colorado, State Of, Telecom Servs",Emergency Info,Colorado,,,,,
KGWS-LP,106.7 FM,Glenwood Springs,Calvary Chapel Glenwood Springs,Religious Teaching,Colorado,,,,,
KHCO,90.1 FM,Hayden,Educational Media Foundation,Worship music (Air1),Colorado,,,,,
KHEN-LP,106.9 FM,Salida,"Tenderfoot Transmitting, Inc.",Variety,Colorado,,,,,
KHNC,1360 AM,Johnstown,"Patriot Trading Metals Group, LLC",Conservative News/Talk,Colorado,,,,,
KHOW,630 AM,Denver,"iHM Licenses, LLC",News Talk Information,Colorado,,,,,
KHTU,88.1 FM,Wray,Home Town Radio,,Colorado,,,,,
KHUI,89.1 FM,Alamosa,"Radio Bilingue, Inc.",Spanish News/Talk,Colorado,,,,,
KIBT,96.1 FM,Fountain,"iHM Licenses, LLC",Rhythmic Top 40,Colorado,66669.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KICO,89.5 FM,Rico,Community Radio Project,Public radio,Colorado,,,,,
